frequency,V(LPF) (Phase),V(LPF) (Verstärkung),
74.131,-30.75,0.808462,
75.8578,-31.6683,0.838312,
77.6247,-32.6226,0.868601,
79.4328,-33.6148,0.899234,
81.2831,-34.6467,0.930094,
83.1764,-35.7204,0.961046,
85.1138,-36.8379,0.991927,
87.0964,-38.0014,1.02255,
89.1251,-39.2132,1.05269,
91.2011,-40.4755,1.08211,
93.3254,-41.7908,1.11049,
95.4993,-43.1613,1.13752,
97.7237,-44.5896,1.16281,
100,-46.078,1.18593,
102.329,-47.6287,1.20639,
104.713,-49.2441,1.22365,
107.152,-50.9263,1.2371,
109.648,-52.677,1.24606,
112.202,-54.498,1.2498,
114.815,-56.3903,1.24751,
117.49,-58.355,1.23832,
120.226,-60.3922,1.22129,
123.027,-62.5016,1.19544,
125.893,-64.6822,1.15975,
128.825,-66.932,1.11313,
131.826,-69.2484,1.05452,
134.896,-71.6277,0.982852,
138.038,-74.0651,0.897074,
141.254,-76.5551,0.796202,
144.544,-79.091,0.679333,
147.911,-81.6651,0.545673,
151.356,-84.2693,0.394562,
154.882,-86.8945,0.225503,
158.489,-89.5313,0.0381723,
162.181,-92.17,-0.167563,
165.959,-94.8007,-0.391643,
169.824,-97.4139,-0.633815,
173.78,-100.001,-0.893645,
177.828,-102.552,-1.17053,
181.97,-105.06,-1.46373,
186.209,-107.518,-1.77237,
190.546,-109.92,-2.09549,
194.984,-112.261,-2.43208,
199.526,-114.537,-2.78107,
204.174,-116.744,-3.14137,
208.93,-118.88,-3.51193,
213.796,-120.945,-3.89169,
218.776,-122.938,-4.27965,
223.872,-124.858,-4.67485,
229.087,-126.706,-5.07641,
234.423,-128.483,-5.48348,
239.883,-130.192,-5.89531,
245.471,-131.832,-6.31119,
251.189,-133.408,-6.7305,
257.04,-134.92,-7.15266,
263.027,-136.371,-7.57717,
269.153,-137.764,-8.00357,
275.423,-139.101,-8.43147,
281.838,-140.383,-8.86052,
288.403,-141.615,-9.2904,
295.121,-142.797,-9.72085,
301.995,-143.932,-10.1516,
309.03,-145.023,-10.5826,
316.228,-146.071,-11.0134,
323.594,-147.079,-11.4442,
331.131,-148.049,-11.8746,
338.844,-148.981,-12.3046,
346.737,-149.879,-12.7341,
354.813,-150.744,-13.163,
363.078,-151.577,-13.5913,
371.535,-152.38,-14.019,
380.189,-153.154,-14.4459,
389.045,-153.901,-14.8722,
398.107,-154.622,-15.2976,
407.38,-155.318,-15.7224,
416.869,-155.99,-16.1463,
426.58,-156.64,-16.5695,
436.516,-157.269,-16.9919,
446.684,-157.876,-17.4136,
457.088,-158.464,-17.8345,
467.735,-159.033,-18.2546,
478.63,-159.584,-18.674,
489.779,-160.118,-19.0927,
501.187,-160.636,-19.5108,
512.861,-161.137,-19.9281,
524.807,-161.623,-20.3447,
537.032,-162.095,-20.7607,
549.541,-162.553,-21.1761,
562.341,-162.997,-21.5909,
575.44,-163.428,-22.005,
588.844,-163.847,-22.4186,
602.56,-164.254,-22.8317,
616.595,-164.65,-23.2442,
630.957,-165.034,-23.6562,
645.654,-165.408,-24.0676,
660.693,-165.771,-24.4786,
676.083,-166.125,-24.8892,
691.831,-166.468,-25.2993,
707.946,-166.803,-25.7089,
724.436,-167.129,-26.1181,
741.31,-167.446,-26.527,
758.578,-167.755,-26.9354,
776.247,-168.056,-27.3435,
794.328,-168.349,-27.7512,
812.831,-168.634,-28.1586,
831.764,-168.912,-28.5656,
851.138,-169.184,-28.9724,
870.964,-169.448,-29.3788,
891.251,-169.706,-29.7849,
912.011,-169.957,-30.1908,
933.254,-170.202,-30.5964,
954.993,-170.441,-31.0017,
977.237,-170.674,-31.4068,
1000,-170.902,-31.8116,
