frequency,V(Bout) (Phase),V(Bout) (Verstärkung),V(LPF) (Phase),V(LPF) (Verstärkung),
95.4993,105.87,-0.284617,-43.1613,1.13752,
97.7237,103.857,-0.313179,-44.5896,1.16281,
100,101.777,-0.345743,-46.078,1.18593,
102.329,99.6288,-0.382834,-47.6287,1.20639,
104.713,97.4103,-0.425033,-49.2441,1.22365,
107.152,95.1196,-0.472986,-50.9263,1.2371,
109.648,92.755,-0.527399,-52.677,1.24606,
112.202,90.3152,-0.589046,-54.498,1.2498,
114.815,87.7991,-0.658765,-56.3903,1.24751,
117.49,85.2062,-0.737459,-58.355,1.23832,
120.226,82.5364,-0.826089,-60.3922,1.22129,
123.027,79.7905,-0.92567,-62.5016,1.19544,
125.893,76.9697,-1.03726,-64.6822,1.15975,
128.825,74.0762,-1.16195,-66.932,1.11313,
131.826,71.113,-1.30083,-69.2484,1.05452,
134.896,68.0843,-1.455,-71.6277,0.982852,
138.038,64.9948,-1.62551,-74.0651,0.897074,
141.254,61.8508,-1.81338,-76.5551,0.796202,
144.544,58.659,-2.01951,-79.091,0.679333,
147.911,55.4275,-2.24471,-81.6651,0.545673,
151.356,52.1649,-2.48966,-84.2693,0.394562,
154.882,48.8805,-2.75485,-86.8945,0.225503,
158.489,45.5841,-3.04061,-89.5313,0.0381723,
162.181,42.2857,-3.34708,-92.17,-0.167563,
165.959,38.9956,-3.67419,-94.8007,-0.391643,
169.824,35.7236,-4.0217,-97.4139,-0.633815,
173.78,32.4792,-4.38915,-100.001,-0.893645,
177.828,29.2714,-4.77595,-102.552,-1.17053,
181.97,26.1084,-5.18133,-105.06,-1.46373,
186.209,22.9974,-5.60442,-107.518,-1.77237,
190.546,19.945,-6.04424,-109.92,-2.09549,
194.984,16.9564,-6.49974,-112.261,-2.43208,
199.526,14.036,-6.96986,-114.537,-2.78107,
204.174,11.1872,-7.45349,-116.744,-3.14137,
208.93,8.4126,-7.94953,-118.88,-3.51193,
213.796,5.71371,-8.45691,-120.945,-3.89169,
218.776,3.09146,-8.97461,-122.938,-4.27965,
223.872,0.546063,-9.50163,-124.858,-4.67485,
229.087,-1.92285,-10.0371,-126.706,-5.07641,
234.423,-4.31611,-10.58,-128.483,-5.48348,
239.883,-6.63495,-11.1297,-130.192,-5.89531,
245.471,-8.88093,-11.6855,-131.832,-6.31119,
251.189,-11.0558,-12.2465,-133.408,-6.7305,
257.04,-13.1616,-12.8123,-134.92,-7.15266,
263.027,-15.2005,-13.3823,-136.371,-7.57717,
269.153,-17.1745,-13.956,-137.764,-8.00357,
275.423,-19.0859,-14.533,-139.101,-8.43147,
281.838,-20.937,-15.1128,-140.383,-8.86052,
288.403,-22.7299,-15.6952,-141.615,-9.2904,
295.121,-24.4669,-16.2797,-142.797,-9.72085,
301.995,-26.1502,-16.8662,-143.932,-10.1516,
309.03,-27.7818,-17.4545,-145.023,-10.5826,
316.228,-29.3637,-18.0442,-146.071,-11.0134,
323.594,-30.8978,-18.6352,-147.079,-11.4442,
331.131,-32.3861,-19.2273,-148.049,-11.8746,
338.844,-33.8304,-19.8205,-148.981,-12.3046,
346.737,-35.2323,-20.4145,-149.879,-12.7341,
354.813,-36.5935,-21.0093,-150.744,-13.163,
363.078,-37.9156,-21.6048,-151.577,-13.5913,
371.535,-39.2,-22.2008,-152.38,-14.019,
380.189,-40.4481,-22.7973,-153.154,-14.4459,
389.045,-41.6614,-23.3943,-153.901,-14.8722,
398.107,-42.8411,-23.9916,-154.622,-15.2976,
407.38,-43.9883,-24.5893,-155.318,-15.7224,
416.869,-45.1043,-25.1873,-155.99,-16.1463,
426.58,-46.1902,-25.7855,-156.64,-16.5695,
436.516,-47.247,-26.384,-157.269,-16.9919,
446.684,-48.2757,-26.9826,-157.876,-17.4136,
457.088,-49.2773,-27.5814,-158.464,-17.8345,
467.735,-50.2526,-28.1803,-159.033,-18.2546,
478.63,-51.2026,-28.7794,-159.584,-18.674,
489.779,-52.1281,-29.3786,-160.118,-19.0927,
501.187,-53.0298,-29.9779,-160.636,-19.5108,
512.861,-53.9085,-30.5772,-161.137,-19.9281,
524.807,-54.7649,-31.1766,-161.623,-20.3447,
537.032,-55.5997,-31.7761,-162.095,-20.7607,
549.541,-56.4136,-32.3756,-162.553,-21.1761,
562.341,-57.2073,-32.9752,-162.997,-21.5909,
575.44,-57.9812,-33.5748,-163.428,-22.005,
588.844,-58.736,-34.1745,-163.847,-22.4186,
602.56,-59.4722,-34.7742,-164.254,-22.8317,
616.595,-60.1905,-35.3739,-164.65,-23.2442,
630.957,-60.8912,-35.9736,-165.034,-23.6562,
645.654,-61.575,-36.5733,-165.408,-24.0676,
660.693,-62.2422,-37.173,-165.771,-24.4786,
676.083,-62.8933,-37.7728,-166.125,-24.8892,
691.831,-63.5288,-38.3725,-166.468,-25.2993,
707.946,-64.1491,-38.9723,-166.803,-25.7089,
724.436,-64.7546,-39.5721,-167.129,-26.1181,
741.31,-65.3458,-40.1718,-167.446,-26.527,
758.578,-65.9229,-40.7716,-167.755,-26.9354,
776.247,-66.4865,-41.3714,-168.056,-27.3435,
794.328,-67.0367,-41.9711,-168.349,-27.7512,
812.831,-67.5741,-42.5709,-168.634,-28.1586,
831.764,-68.0988,-43.1706,-168.912,-28.5656,
851.138,-68.6113,-43.7704,-169.184,-28.9724,
870.964,-69.1119,-44.3701,-169.448,-29.3788,
891.251,-69.6008,-44.9699,-169.706,-29.7849,
912.011,-70.0785,-45.5696,-169.957,-30.1908,
933.254,-70.545,-46.1693,-170.202,-30.5964,
954.993,-71.0009,-46.769,-170.441,-31.0017,
977.237,-71.4462,-47.3687,-170.674,-31.4068,
1000,-71.8813,-47.9683,-170.902,-31.8116,
