frequency,V(BPF) (Phase),V(BPF) (Verstärkung),V(BSF) (Phase),V(BSF) (Verstärkung),V(HPF) (Phase),V(HPF) (Verstärkung),V(LPF) (Phase),V(LPF) (Verstärkung),
30.1995,-101.139,-14.2826,168.862,-0.165383,168.859,-28.7185,-11.138,0.15317,
30.903,-101.412,-14.0756,168.59,-0.17361,168.587,-28.3114,-11.4102,0.160248,
31.6228,-101.691,-13.8682,168.31,-0.18227,168.308,-27.904,-11.6898,0.167643,
32.3594,-101.978,-13.6604,168.023,-0.191387,168.021,-27.4963,-11.9769,0.17537,
33.1131,-102.273,-13.4524,167.728,-0.200988,167.726,-27.0882,-12.2717,0.183443,
33.8844,-102.576,-13.2439,167.425,-0.2111,167.423,-26.6797,-12.5745,0.191875,
34.6737,-102.887,-13.0351,167.114,-0.221754,167.112,-26.2709,-12.8857,0.200681,
35.4813,-103.206,-12.8259,166.795,-0.232983,166.793,-25.8617,-13.2054,0.209877,
36.3078,-103.535,-12.6163,166.466,-0.244821,166.464,-25.4521,-13.534,0.219478,
37.1535,-103.873,-12.4063,166.128,-0.257304,166.127,-25.0421,-13.8717,0.229501,
38.0189,-104.22,-12.1959,165.781,-0.270473,165.78,-24.6317,-14.219,0.239962,
38.9045,-104.577,-11.9849,165.424,-0.284369,165.423,-24.2207,-14.5761,0.250878,
39.8107,-104.944,-11.7735,165.056,-0.299039,165.055,-23.8094,-14.9435,0.262266,
40.738,-105.322,-11.5617,164.679,-0.31453,164.678,-23.3975,-15.3214,0.274145,
41.6869,-105.711,-11.3493,164.29,-0.330896,164.289,-22.9851,-15.7103,0.286532,
42.658,-106.111,-11.1364,163.889,-0.348193,163.889,-22.5722,-16.1106,0.299445,
43.6516,-106.523,-10.9229,163.477,-0.366481,163.477,-22.1587,-16.5227,0.312904,
44.6684,-106.947,-10.7089,163.053,-0.385825,163.052,-21.7447,-16.9472,0.326928,
45.7088,-107.385,-10.4943,162.615,-0.406298,162.615,-21.3301,-17.3844,0.341534,
46.7735,-107.835,-10.2791,162.165,-0.427973,162.165,-20.9149,-17.8349,0.356742,
47.863,-108.299,-10.0632,161.7,-0.450935,161.7,-20.4991,-18.2993,0.372571,
48.9779,-108.778,-9.84678,161.222,-0.475273,161.222,-20.0826,-18.778,0.389039,
50.1187,-109.272,-9.62965,160.728,-0.501082,160.728,-19.6655,-19.2718,0.406165,
51.2861,-109.781,-9.41185,160.218,-0.528468,160.219,-19.2477,-19.7813,0.423967,
52.4807,-110.307,-9.19336,159.693,-0.557544,159.693,-18.8292,-20.307,0.442461,
53.7032,-110.85,-8.97415,159.15,-0.588434,159.15,-18.41,-20.8498,0.461663,
54.9541,-111.41,-8.75423,158.589,-0.621274,158.59,-17.99,-21.4104,0.481589,
56.2341,-111.989,-8.53357,158.01,-0.656209,158.011,-17.5694,-21.9895,0.502252,
57.544,-112.588,-8.31215,157.411,-0.6934,157.413,-17.148,-22.5881,0.523663,
58.8844,-113.207,-8.08999,156.792,-0.733022,156.794,-16.7258,-23.207,0.545832,
60.256,-113.847,-7.86705,156.152,-0.775266,156.154,-16.3029,-23.8471,0.568764,
61.6595,-114.509,-7.64335,155.49,-0.820344,155.492,-15.8792,-24.5095,0.592464,
63.0957,-115.195,-7.41889,154.804,-0.868484,154.806,-15.4547,-25.1951,0.616931,
64.5654,-115.905,-7.19366,154.094,-0.91994,154.096,-15.0295,-25.9052,0.64216,
66.0693,-116.64,-6.96768,153.358,-0.974991,153.36,-14.6035,-26.6409,0.66814,
67.6083,-117.403,-6.74097,152.595,-1.03394,152.598,-14.1768,-27.4035,0.694856,
69.1831,-118.193,-6.51354,151.804,-1.09714,151.807,-13.7494,-28.1942,0.722282,
70.7946,-119.014,-6.28543,150.984,-1.16495,150.987,-13.3213,-29.0145,0.750389,
72.4436,-119.865,-6.05669,150.132,-1.23779,150.136,-12.8925,-29.8659,0.779133,
74.131,-120.749,-5.82736,149.248,-1.31612,149.252,-12.4632,-30.75,0.808462,
75.8578,-121.667,-5.59751,148.33,-1.40045,148.334,-12.0333,-31.6683,0.838312,
77.6247,-122.622,-5.36722,147.375,-1.49136,147.38,-11.603,-32.6226,0.868601,
79.4328,-123.614,-5.13659,146.383,-1.58948,146.388,-11.1724,-33.6148,0.899234,
81.2831,-124.645,-4.90573,145.351,-1.69551,145.356,-10.7416,-34.6467,0.930094,
83.1764,-125.719,-4.67478,144.277,-1.81025,144.282,-10.3106,-35.7204,0.961046,
85.1138,-126.837,-4.4439,143.159,-1.93459,143.165,-9.87973,-36.8379,0.991927,
87.0964,-128,-4.21328,141.995,-2.06954,142.001,-9.44911,-38.0014,1.02255,
89.1251,-129.212,-3.98314,140.783,-2.21622,140.79,-9.01896,-39.2132,1.05269,
91.2011,-130.474,-3.75372,139.52,-2.37591,139.528,-8.58955,-40.4755,1.08211,
93.3254,-131.789,-3.52534,138.204,-2.55004,138.212,-8.16117,-41.7908,1.11049,
95.4993,-133.16,-3.29831,136.833,-2.74027,136.842,-7.73414,-43.1613,1.13752,
97.7237,-134.588,-3.07302,135.404,-2.94845,135.414,-7.30885,-44.5896,1.16281,
100,-136.076,-2.8499,133.915,-3.17673,133.926,-6.88574,-46.078,1.18593,
102.329,-137.627,-2.62944,132.364,-3.42754,132.375,-6.46528,-47.6287,1.20639,
104.713,-139.242,-2.41219,130.748,-3.70374,130.76,-6.04802,-49.2441,1.22365,
107.152,-140.924,-2.19874,129.065,-4.00858,129.078,-5.63458,-50.9263,1.2371,
109.648,-142.675,-1.98978,127.313,-4.3459,127.327,-5.22562,-52.677,1.24606,
112.202,-144.496,-1.78604,125.491,-4.7202,125.506,-4.82188,-54.498,1.2498,
114.815,-146.388,-1.58833,123.597,-5.13681,123.614,-4.42417,-56.3903,1.24751,
117.49,-148.353,-1.39753,121.63,-5.60214,121.65,-4.03337,-58.355,1.23832,
120.226,-150.39,-1.21455,119.591,-6.12394,119.613,-3.6504,-60.3922,1.22129,
123.027,-152.499,-1.0404,117.479,-6.71181,117.503,-3.27625,-62.5016,1.19544,
125.893,-154.68,-0.876102,115.296,-7.3778,115.323,-2.91195,-64.6822,1.15975,
128.825,-156.929,-0.722718,113.042,-8.13744,113.073,-2.55857,-66.932,1.11313,
131.826,-159.246,-0.581327,110.721,-9.01125,110.757,-2.21718,-69.2484,1.05452,
134.896,-161.625,-0.453001,108.335,-10.0274,108.378,-1.88885,-71.6277,0.982852,
138.038,-164.062,-0.338781,105.89,-11.2264,105.941,-1.57464,-74.0651,0.897074,
141.254,-166.552,-0.239655,103.388,-12.6694,103.451,-1.27551,-76.5551,0.796202,
144.544,-169.088,-0.156526,100.836,-14.457,100.915,-0.992385,-79.091,0.679333,
147.911,-171.662,-0.090189,98.2334,-16.772,98.3413,-0.72605,-81.6651,0.545673,
151.356,-174.266,-0.0413018,95.5752,-20.008,95.7373,-0.477165,-84.2693,0.394562,
154.882,-176.891,-0.0103638,92.8038,-25.3148,93.1122,-0.24623,-86.8945,0.225503,
158.489,-179.528,0.00230272,88.3832,-41.6751,90.4757,-0.0335661,-89.5313,0.0381723,
162.181,177.834,-0.00343581,-91.693,-28.4498,87.8372,0.160693,-92.17,-0.167563,
165.959,175.203,-0.0275187,-94.5751,-21.5533,85.2067,0.336607,-94.8007,-0.391643,
169.824,172.59,-0.0696937,-97.2612,-17.7903,82.5937,0.494429,-97.4139,-0.633815,
173.78,170.003,-0.129526,-99.8823,-15.2097,80.0073,0.634593,-100.001,-0.893645,
177.828,167.452,-0.206415,-102.454,-13.2608,77.4561,0.7577,-102.552,-1.17053,
181.97,164.944,-0.299615,-104.975,-11.7086,74.9481,0.864497,-105.06,-1.46373,
186.209,162.486,-0.40826,-107.442,-10.4306,72.4902,0.955848,-107.518,-1.77237,
190.546,160.084,-0.531391,-109.851,-9.35426,70.0885,1.03271,-109.92,-2.09549,
194.984,157.743,-0.667983,-112.196,-8.43302,67.7479,1.09612,-112.261,-2.43208,
199.526,155.468,-0.816973,-114.476,-7.63501,65.4726,1.14712,-114.537,-2.78107,
204.174,153.261,-0.977284,-116.686,-6.93731,63.2656,1.18681,-116.744,-3.14137,
208.93,151.124,-1.14784,-118.825,-6.32285,61.1292,1.21624,-118.88,-3.51193,
213.796,149.06,-1.32761,-120.892,-5.77846,59.0646,1.23647,-120.945,-3.89169,
218.776,147.067,-1.51557,-122.886,-5.29376,57.0725,1.2485,-122.938,-4.27965,
223.872,145.148,-1.71078,-124.807,-4.86039,55.1528,1.25329,-124.858,-4.67485,
229.087,143.3,-1.91234,-126.656,-4.47151,53.3049,1.25172,-126.706,-5.07641,
234.423,141.522,-2.11942,-128.435,-4.12142,51.5277,1.24464,-128.483,-5.48348,
239.883,139.814,-2.33125,-130.144,-3.80534,49.8197,1.2328,-130.192,-5.89531,
245.471,138.173,-2.54714,-131.785,-3.51923,48.1791,1.21691,-131.832,-6.31119,
251.189,136.598,-2.76646,-133.361,-3.25962,46.604,1.19758,-133.408,-6.7305,
257.04,135.086,-2.98863,-134.873,-3.02354,45.0921,1.17541,-134.92,-7.15266,
263.027,133.635,-3.21314,-136.325,-2.80839,43.6411,1.15088,-136.371,-7.57717,
269.153,132.242,-3.43955,-137.718,-2.61193,42.2487,1.12446,-137.764,-8.00357,
275.423,130.906,-3.66746,-139.054,-2.43221,40.9125,1.09655,-139.101,-8.43147,
281.838,129.623,-3.89652,-140.337,-2.26751,39.6301,1.06749,-140.383,-8.86052,
288.403,128.392,-4.1264,-141.568,-2.11632,38.3991,1.03759,-141.615,-9.2904,
295.121,127.21,-4.35686,-142.75,-1.97731,37.2172,1.00712,-142.797,-9.72085,
301.995,126.075,-4.58766,-143.885,-1.84929,36.0821,0.976314,-143.932,-10.1516,
309.03,124.984,-4.81859,-144.976,-1.73122,34.9916,0.94537,-145.023,-10.5826,
316.228,123.936,-5.04949,-146.024,-1.62217,33.9437,0.91446,-146.071,-11.0134,
323.594,122.928,-5.28021,-147.031,-1.52131,32.9361,0.883728,-147.079,-11.4442,
331.131,121.959,-5.51063,-148,-1.42791,31.9672,0.853298,-148.049,-11.8746,
338.844,121.027,-5.74064,-148.932,-1.3413,31.0348,0.823275,-148.981,-12.3046,
346.737,120.129,-5.97016,-149.83,-1.26089,30.1374,0.793742,-149.879,-12.7341,
354.813,119.265,-6.19912,-150.694,-1.18615,29.2732,0.764772,-150.744,-13.163,
363.078,118.432,-6.42746,-151.526,-1.1166,28.4406,0.736421,-151.577,-13.5913,
371.535,117.629,-6.65513,-152.328,-1.05182,27.6381,0.708735,-152.38,-14.019,
380.189,116.855,-6.8821,-153.102,-0.9914,26.8643,0.68175,-153.154,-14.4459,
389.045,116.108,-7.10834,-153.848,-0.935004,26.1178,0.655491,-153.901,-14.8722,
398.107,115.388,-7.33384,-154.568,-0.882309,25.3973,0.629979,-154.622,-15.2976,
407.38,114.692,-7.55857,-155.264,-0.833027,24.7016,0.605225,-155.318,-15.7224,
416.869,114.02,-7.78254,-155.935,-0.786895,24.0297,0.581237,-155.99,-16.1463,
426.58,113.37,-8.00574,-156.584,-0.743677,23.3803,0.558017,-156.64,-16.5695,
436.516,112.742,-8.22818,-157.212,-0.703153,22.7526,0.535562,-157.269,-16.9919,
446.684,112.135,-8.44985,-157.818,-0.665128,22.1454,0.513867,-157.876,-17.4136,
457.088,111.547,-8.67077,-158.405,-0.629419,21.558,0.492925,-158.464,-17.8345,
467.735,110.978,-8.89095,-158.973,-0.595861,20.9894,0.472724,-159.033,-18.2546,
478.63,110.427,-9.1104,-159.523,-0.564303,20.4388,0.453251,-159.584,-18.674,
489.779,109.894,-9.32913,-160.056,-0.534605,19.9055,0.434493,-160.118,-19.0927,
501.187,109.377,-9.54716,-160.572,-0.506641,19.3888,0.416433,-160.636,-19.5108,
512.861,108.875,-9.76451,-161.073,-0.480293,18.8879,0.399055,-161.137,-19.9281,
524.807,108.389,-9.98119,-161.558,-0.455453,18.4022,0.382342,-161.623,-20.3447,
537.032,107.918,-10.1972,-162.028,-0.432021,17.9312,0.366275,-162.095,-20.7607,
549.541,107.461,-10.4126,-162.485,-0.409906,17.4741,0.350835,-162.553,-21.1761,
562.341,107.017,-10.6274,-162.927,-0.389024,17.0305,0.336005,-162.997,-21.5909,
575.44,106.586,-10.8416,-163.357,-0.369295,16.5998,0.321765,-163.428,-22.005,
588.844,106.167,-11.0553,-163.775,-0.350647,16.1816,0.308096,-163.847,-22.4186,
602.56,105.761,-11.2683,-164.18,-0.333013,15.7753,0.29498,-164.254,-22.8317,
616.595,105.365,-11.4809,-164.574,-0.316331,15.3805,0.282397,-164.65,-23.2442,
630.957,104.981,-11.6929,-164.957,-0.300543,14.9969,0.27033,-165.034,-23.6562,
645.654,104.608,-11.9044,-165.329,-0.285594,14.6239,0.258759,-165.408,-24.0676,
660.693,104.245,-12.1155,-165.691,-0.271435,14.2612,0.247668,-165.771,-24.4786,
676.083,103.892,-12.3261,-166.043,-0.25802,13.9085,0.237038,-166.125,-24.8892,
691.831,103.548,-12.5362,-166.385,-0.245304,13.5654,0.226852,-166.468,-25.2993,
707.946,103.214,-12.7459,-166.718,-0.233247,13.2315,0.217094,-166.803,-25.7089,
724.436,102.889,-12.9552,-167.042,-0.221812,12.9065,0.207747,-167.129,-26.1181,
741.31,102.572,-13.1641,-167.358,-0.210963,12.5902,0.198796,-167.446,-26.527,
758.578,102.264,-13.3726,-167.665,-0.200668,12.2822,0.190225,-167.755,-26.9354,
776.247,101.963,-13.5807,-167.964,-0.190894,11.9822,0.182019,-168.056,-27.3435,
794.328,101.671,-13.7885,-168.255,-0.181614,11.6901,0.174164,-168.349,-27.7512,
812.831,101.386,-13.996,-168.538,-0.1728,11.4055,0.166645,-168.634,-28.1586,
831.764,101.108,-14.2031,-168.814,-0.164426,11.1283,0.15945,-168.912,-28.5656,
851.138,100.837,-14.4099,-169.083,-0.156469,10.8581,0.152564,-169.184,-28.9724,
870.964,100.573,-14.6164,-169.345,-0.148907,10.5947,0.145976,-169.448,-29.3788,
891.251,100.316,-14.8226,-169.601,-0.141718,10.338,0.139672,-169.706,-29.7849,
912.011,100.065,-15.0286,-169.85,-0.134882,10.0877,0.133642,-169.957,-30.1908,
933.254,99.8208,-15.2342,-170.093,-0.128381,9.84366,0.127874,-170.202,-30.5964,
954.993,99.5823,-15.4397,-170.329,-0.122198,9.60565,0.122357,-170.441,-31.0017,
977.237,99.3496,-15.6448,-170.56,-0.116315,9.3735,0.117081,-170.674,-31.4068,
1000,99.1225,-15.8498,-170.785,-0.110717,9.14704,0.112035,-170.902,-31.8116,
